"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.388655545E1,-1.160879731E0,1.450080872E-1,6.016211510E-1,1.315529211E0
9.390447177E1,-1.185704947E0,1.484632492E-1,3.461728096E-1,1.244095322E0
9.392238827E1,-1.230701208E0,1.053986549E-1,3.266997337E-1,1.277680342E0
9.394030508E1,-1.202610612E0,6.625986099E-2,4.135169983E-1,1.273443741E0
9.395822091E1,-1.247941494E0,7.190561295E-2,9.397983551E-2,1.253539229E0
9.397613785E1,-1.274908066E0,1.131281853E-1,3.483066559E-1,1.326463753E0
9.399405429E1,-1.196772933E0,1.480045319E-1,6.573147774E-1,1.373402167E0
9.401197079E1,-1.180600286E0,1.831507683E-1,4.041004181E-1,1.261213061E0
9.402987900E1,-1.243663073E0,1.603374481E-1,4.502000809E-1,1.332323552E0
9.404780063E1,-1.230531573E0,2.030115128E-1,6.991901398E-1,1.429786165E0
9.406572293E1,-1.189370036E0,1.351690292E-1,5.618095398E-1,1.322309233E0
9.408363656E1,-1.203954697E0,6.646966934E-2,3.490176201E-1,1.255284202E0
9.410155197E1,-1.252045989E0,3.166389465E-2,2.022809982E-1,1.268676225E0
9.411946988E1,-1.278233528E0,4.724502563E-2,9.718799591E-2,1.282793261E0
9.413738583E1,-1.260651708E0,6.921005249E-2,1.893639565E-1,1.276672028E0
9.415530264E1,-1.217052460E0,1.490116119E-1,4.105834961E-1,1.293058374E0
9.417321829E1,-1.158776164E0,1.668257713E-1,6.317138672E-1,1.330283972E0
9.419113644E1,-1.126899123E0,1.382913589E-1,6.079125404E-1,1.287860160E0
9.420905020E1,-1.195206165E0,1.288733482E-1,4.129786491E-1,1.271093027E0
9.422696835E1,-1.238729835E0,1.326498985E-1,4.950499535E-1,1.340567811E0
9.424488412E1,-1.233607888E0,1.025667191E-1,4.679040909E-1,1.323345228E0
9.426280087E1,-1.315231800E0,6.341552734E-2,2.732610703E-1,1.344815166E0
9.428071841E1,-1.358365297E0,2.855253220E-2,2.695302963E-1,1.385141909E0
9.429863278E1,-1.316129088E0,-9.675979614E-3,2.026324272E-1,1.331671620E0
9.431655014E1,-1.328884602E0,3.518009186E-2,5.268192291E-2,1.330393667E0
9.433446658E1,-1.303736448E0,1.297864914E-1,2.980041504E-1,1.343644199E0
9.435237368E1,-1.163411379E0,1.990695000E-1,6.017646790E-1,1.324868081E0
9.437029831E1,-1.126606822E0,1.667180061E-1,6.062049866E-1,1.290163676E0
9.438821744E1,-1.174714088E0,1.228151321E-1,4.929957390E-1,1.279875597E0
9.440613241E1,-1.237394094E0,5.873584747E-2,3.317751884E-1,1.282446420E0
9.442404892E1,-1.251288891E0,1.452779770E-2,2.612538338E-1,1.278353829E0
9.444194803E1,-1.270396590E0,-3.371858597E-2,1.707878113E-1,1.282268660E0
9.445988144E1,-1.224445224E0,1.795291901E-3,1.071534157E-1,1.229126187E0
9.447779837E1,-1.217162132E0,2.465772629E-2,1.798844337E-1,1.230629948E0
9.449571469E1,-1.210124731E0,6.625556946E-2,3.522186279E-1,1.262081466E0
9.451363150E1,-1.226863265E0,1.554851532E-1,4.118475914E-1,1.303452163E0
9.453154733E1,-1.257664919E0,1.392164230E-1,4.849624634E-1,1.355098097E0
9.454946426E1,-1.303885818E0,3.717899323E-2,6.137642860E-1,1.441598800E0
9.456738064E1,-1.388727665E0,4.017210007E-2,2.632737160E-1,1.414033725E0
