"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.077313440E0,-9.014798328E-3,-3.907664120E-1,-3.903198242E-1,5.523850292E-1
7.095235743E0,2.464392595E-2,-4.664595127E-1,-3.622446060E-1,5.911116262E-1
7.113150843E0,-1.339735091E-2,-4.464147389E-1,-3.718576431E-1,5.811572204E-1
7.131068263E0,2.429545298E-2,-3.494715095E-1,-3.617181778E-1,5.035480564E-1
7.148986536E0,-3.718953952E-2,-4.502131939E-1,-3.186912537E-1,5.528463593E-1
7.166903529E0,1.042358577E-3,-3.387763202E-1,-2.230148315E-1,4.055935117E-1
7.184821437E0,-9.397719800E-2,-4.444738925E-1,-1.991224289E-1,4.960226774E-1
7.202738978E0,-6.050210819E-2,-4.580708444E-1,-1.566848755E-1,4.878929737E-1
7.220657130E0,-4.587525129E-2,-4.137892723E-1,-1.327848434E-1,4.369873170E-1
7.238574183E0,-4.594141617E-2,-4.607703090E-1,-2.237529755E-1,5.142813290E-1
7.256492091E0,-1.730509475E-2,-4.551202953E-1,-1.765336990E-1,4.884650411E-1
7.274409388E0,2.098794468E-2,-4.539886117E-1,-1.765871048E-1,4.875747727E-1
7.292327296E0,3.541637957E-2,-4.338576794E-1,-1.521053314E-1,4.611104398E-1
7.310244532E0,1.167190261E-2,-3.994422257E-1,-1.186466217E-1,4.168541062E-1
7.328161891E0,2.591368556E-2,-3.887620270E-1,-8.998489380E-2,3.998808746E-1
7.346079981E0,-4.582955316E-2,-3.637167215E-1,-6.550979614E-2,3.723999662E-1
7.363997706E0,6.684949622E-3,-3.578925133E-1,-5.658435822E-2,3.623996816E-1
7.381905970E0,-7.402729988E-2,-4.006445110E-1,-2.791118622E-2,4.083810716E-1
7.399832911E0,-4.067093134E-2,-3.275952935E-1,-7.041358948E-2,3.375364789E-1
7.417750514E0,-8.746366203E-2,-4.329180419E-1,-4.036903381E-3,4.416833932E-1
7.435668116E0,-1.494064927E-3,-3.406414688E-1,-2.799797058E-2,3.417934008E-1
7.453585658E0,-7.702945173E-2,-4.076780379E-1,-2.802276611E-2,4.158367401E-1
7.471498683E0,4.468843341E-3,-4.022278190E-1,2.399158478E-2,4.029674739E-1
