"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.323184532E1,-3.023051843E-2,7.148548961E-2,6.950311661E-1,6.993514004E-1
3.324976414E1,-3.380659223E-2,6.583157182E-2,7.333250046E-1,7.370496889E-1
3.326768315E1,-2.703006193E-2,6.900647283E-2,7.280397415E-1,7.318021473E-1
3.328559099E1,-3.037957847E-2,5.703911185E-2,6.802892685E-1,6.833519356E-1
3.330351787E1,-2.084651217E-2,5.978986621E-2,6.803865433E-1,6.833266082E-1
3.332144243E1,-3.939341754E-3,6.321495771E-2,6.804618835E-1,6.834032662E-1
3.333935844E1,-5.670823157E-4,5.774232745E-2,7.235736847E-1,7.258742144E-1
3.335727684E1,-1.128699630E-2,5.664440989E-2,7.379589081E-1,7.402157358E-1
3.337519572E1,-3.605990857E-2,4.058900476E-2,7.284746170E-1,7.304950732E-1
3.339311473E1,-3.139592335E-2,1.910108328E-2,6.849203110E-1,6.859055239E-1
3.341103410E1,-5.218224972E-2,2.775287628E-2,6.048393250E-1,6.077201810E-1
3.342893571E1,-7.369063050E-2,3.379130363E-2,5.569324493E-1,5.628018429E-1
3.344687132E1,-8.045919240E-2,4.136940837E-2,5.663766861E-1,5.735570243E-1
3.346478282E1,-8.585525304E-2,1.964563131E-2,6.236724854E-1,6.298606547E-1
3.348270628E1,-5.654306710E-2,-3.090143204E-3,6.475429535E-1,6.500142645E-1
3.350063017E1,-3.386080638E-2,-5.597770214E-3,6.468667984E-1,6.477766159E-1
3.351854662E1,-2.998760343E-2,7.605075836E-3,6.706304550E-1,6.713436532E-1
3.353646526E1,-2.176550031E-2,1.053187251E-2,7.135410309E-1,7.139506006E-1
3.355438438E1,-1.681878418E-2,1.718086004E-2,7.182378769E-1,7.186401751E-1
3.357230247E1,-1.618522033E-2,3.401920199E-2,6.798582077E-1,6.809012043E-1
3.359022166E1,-3.923402354E-2,2.215629816E-2,6.892824173E-1,6.907535457E-1
3.360814061E1,-4.430516064E-2,3.060299158E-2,7.034711838E-1,7.055290191E-1
3.362605992E1,-2.983040363E-2,1.425111294E-2,7.224845886E-1,7.232405741E-1
3.364397777E1,-9.924963117E-3,2.112007141E-2,7.128419876E-1,7.132238510E-1
3.366189500E1,-3.329503536E-2,2.291154861E-2,6.983728409E-1,6.995413664E-1
3.367981566E1,-6.048779190E-2,1.076507568E-2,7.269783020E-1,7.295698126E-1
3.369772294E1,-5.369980261E-2,-6.183475256E-3,7.178974152E-1,7.199295819E-1
3.371565013E1,-4.177423939E-2,1.429694891E-2,7.034692764E-1,7.048535399E-1
3.373357530E1,-3.309641406E-2,-3.349989653E-3,7.123584747E-1,7.131347640E-1
3.375149095E1,-4.274111614E-2,-3.118529916E-2,7.505865097E-1,7.524489580E-1
3.376941014E1,-3.956510872E-2,-3.531587124E-2,7.116632462E-1,7.136365914E-1
3.378731908E1,-2.465182543E-2,-6.573775411E-2,6.732397079E-1,6.768905888E-1
3.380524302E1,1.344345510E-4,-7.219210267E-2,7.108020782E-1,7.144587547E-1
3.382317040E1,2.258562669E-2,-6.415843964E-2,7.776832581E-1,7.806520773E-1
3.384108519E1,2.410602197E-2,-7.818290591E-2,8.590164185E-1,8.629037456E-1
3.385900365E1,2.870614082E-2,-5.657076836E-2,7.825717926E-1,7.851387807E-1
