"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.972321878E1,-1.553093642E-2,-7.695011795E-2,5.180740356E-2,9.405603490E-2
2.974115274E1,-2.520810068E-2,-7.214134932E-2,2.847862244E-2,8.155277161E-2
2.975906723E1,-3.968358040E-2,-6.257352233E-2,1.412200928E-2,7.542985746E-2
2.977698362E1,-1.509122550E-3,-9.577360749E-2,1.830291748E-2,9.751850148E-2
2.979489780E1,-6.366725266E-2,-7.145059109E-2,8.722305298E-3,9.609778685E-2
2.981279587E1,-3.948275000E-2,-5.217981339E-2,-1.461315155E-2,6.704598922E-2
2.983072361E1,-2.035064250E-2,-8.524641395E-2,1.349258423E-2,8.867440200E-2
2.984864872E1,-3.972701728E-2,-6.582917273E-2,-1.522636414E-2,7.838085257E-2
2.986655870E1,-5.411924794E-2,-6.083545089E-2,-1.044464111E-2,8.209102028E-2
2.988447429E1,-6.375880539E-2,-6.040996313E-2,2.783012390E-2,9.213612053E-2
2.990238872E1,-2.511040121E-2,-5.993396044E-2,-2.004051208E-2,6.800172047E-2
2.992030516E1,-1.525823772E-2,-5.935220420E-2,8.657455444E-3,6.189062527E-2
2.993821325E1,-2.001032233E-2,-5.410574377E-2,2.778816223E-2,6.403144906E-2
2.995613500E1,-4.399551451E-2,-5.386286974E-2,1.342582703E-2,7.083125627E-2
2.997404961E1,-1.074814796E-2,-2.975703776E-2,8.638381958E-3,3.279673191E-2
2.999196581E1,-4.902315140E-2,-4.850989580E-2,1.820087433E-2,7.132847391E-2
3.000988043E1,-5.849900097E-2,-3.879247606E-2,4.437446594E-3,7.033263997E-2
3.002779596E1,-3.438222408E-2,-5.762961507E-2,9.214401245E-3,6.773636436E-2
3.004571020E1,-6.283822656E-2,-4.772387445E-2,4.419326782E-3,7.903000290E-2
3.006362671E1,-2.466485649E-2,-5.699087679E-2,-1.472949982E-2,6.382220106E-2
3.008154120E1,-4.386748374E-2,-2.338400483E-2,-5.161285400E-3,4.997806197E-2
3.009945667E1,-3.400579095E-2,-5.169987679E-2,4.398345947E-3,6.203721887E-2
3.011737122E1,-2.916237712E-2,-5.618107319E-2,4.390716553E-3,6.345104897E-2
3.013528712E1,1.364184916E-2,-8.473041654E-2,3.790855408E-3,8.590526247E-2
3.015319905E1,-2.474917471E-2,-8.912579715E-2,2.292442322E-2,9.529668697E-2
3.017112068E1,1.354415715E-2,-9.329694510E-2,-1.017570496E-3,9.428043067E-2
3.018903200E1,3.850698471E-3,-9.284467995E-2,3.725814819E-2,1.001155936E-1
3.020694832E1,-3.943923861E-2,-8.268912137E-2,1.331806183E-2,9.257599638E-2
3.022484383E1,-6.030276418E-3,-8.226966858E-2,-2.497577667E-2,8.618846803E-2
3.024277382E1,-2.488854527E-2,-4.833275080E-2,1.329708099E-2,5.596701572E-2
3.026069747E1,-2.004703134E-2,-6.709590554E-2,-1.069068909E-3,7.003489783E-2
3.027860915E1,-2.958820760E-2,8.035749197E-4,-2.440643311E-2,3.836380767E-2
3.029652328E1,-3.905458748E-2,-9.192720056E-3,2.882862091E-2,4.940502291E-2
3.031442733E1,-1.959645003E-2,6.055936217E-3,4.891395569E-3,2.108603727E-2
