"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
5.853273130E-1,7.332200050E0,-1.755335999E2,4.050399780E1,1.802952569E2
5.953268250E-1,8.015399933E0,-1.753627930E2,4.010139847E1,1.800679815E2
6.053273130E-1,5.807199955E0,-1.762778015E2,3.932059860E1,1.807033380E2
6.153275570E-1,7.722599983E0,-1.756678009E2,3.955239868E1,1.802309825E2
6.253273130E-1,7.429800034E0,-1.756067963E2,3.957679749E1,1.801645684E2
6.353275570E-1,8.735199928E0,-1.751920013E2,4.035759735E1,1.799924352E2
6.453143740E-1,7.868999958E0,-1.755457916E2,4.010139847E1,1.802397522E2
6.553278020E-1,7.649399757E0,-1.761923981E2,4.019899750E1,1.808818229E2
6.653275570E-1,7.429800034E0,-1.759850006E2,4.084560013E1,1.808156117E2
6.753270690E-1,7.588399887E0,-1.755945892E2,3.939379883E1,1.801191688E2
6.853275570E-1,5.294799805E0,-1.765462036E2,3.913759995E1,1.809097804E2
6.953270690E-1,7.990999699E0,-1.754359894E2,4.011359787E1,1.801408981E2
7.053273130E-1,7.710399628E0,-1.759850006E2,3.994279861E1,1.806255737E2
7.153151060E-1,7.381000042E0,-1.757409973E2,3.980859756E1,1.803443976E2
7.253275570E-1,8.222800255E0,-1.754604034E2,3.995499802E1,1.801398609E2
7.353275570E-1,6.770999908E0,-1.758141937E2,3.912540054E1,1.802422651E2
7.453243840E-1,8.039799690E0,-1.752285919E2,3.932059860E1,1.797659792E2
7.553273130E-1,7.466399670E0,-1.758873901E2,3.911320114E1,1.803384697E2
7.653275570E-1,1.326139927E1,-1.723005981E2,4.495700073E1,1.785622937E2
7.753273130E-1,9.613599777E0,-1.749601898E2,4.215100098E1,1.802226296E2
7.853141300E-1,9.101200104E0,-1.754848022E2,4.191920090E1,1.806515072E2
7.953268250E-1,9.333000183E0,-1.752651978E2,4.160199738E1,1.803766077E2
8.053273130E-1,9.271999359E0,-1.748504028E2,4.062599945E1,1.797473370E2
8.153275570E-1,9.015799522E0,-1.755701904E2,4.061380005E1,1.804318629E2
8.253143740E-1,9.394000053E0,-1.755945892E2,4.017459869E1,1.803765655E2
8.353273130E-1,1.007719994E1,-1.754237976E2,3.955239868E1,1.801095527E2
8.453197450E-1,9.088999748E0,-1.756434021E2,3.902779770E1,1.801565531E2
8.553275570E-1,9.979599953E0,-1.757165985E2,3.969879913E1,1.804214789E2
8.653275570E-1,1.171199989E1,-1.755457916E2,3.912540054E1,1.802339948E2
8.753268250E-1,1.085799980E1,-1.758385925E2,3.853979874E1,1.803397429E2
8.853275570E-1,9.991799355E0,-1.763753967E2,3.768579865E1,1.806331532E2
8.953148620E-1,8.369199753E0,-1.774123993E2,3.664879990E1,1.813514198E2
9.053273130E-1,9.979599953E0,-1.765339966E2,3.501399994E1,1.802493400E2
9.153268250E-1,9.235400200E0,-1.777052002E2,3.487979889E1,1.813312746E2
9.253275570E-1,1.008939934E1,-1.777173920E2,3.401359940E1,1.812241494E2
9.353275570E-1,1.074819946E1,-1.777417908E2,3.245199966E1,1.809994482E2
9.453165710E-1,1.000399971E1,-1.784615936E2,3.058539963E1,1.813397008E2
9.553270690E-1,1.057740021E1,-1.788764038E2,2.832839966E1,1.814142978E2
9.653143740E-1,1.095559978E1,-1.788764038E2,2.583959961E1,1.810648445E2
9.753273130E-1,1.162659931E1,-1.788275909E2,2.426580048E1,1.808405767E2
9.853273130E-1,1.004059982E1,-1.795229950E2,2.098399925E1,1.810238868E2
9.953273130E-1,1.094339943E1,-1.799987946E2,1.948340034E1,1.813806134E2
1.005327313E0,1.160219955E1,-1.804380035E2,1.790959930E1,1.816954537E2
1.015327313E0,1.124839973E1,-1.807552032E2,1.583559990E1,1.817958641E2
1.025327802E0,1.112639999E1,-1.808405914E2,1.377379990E1,1.817053490E2
1.035327557E0,1.106540012E1,-1.808527985E2,1.245619965E1,1.816186519E2
